"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00095","finished","-","","","2025-04-25T17:29:26.000Z","3729","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00095.yaml","longbench","","","","repobench-p","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","64","","0.0001294151394040892","","28.86","0.46","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00094","finished","-","","","2025-04-25T17:25:08.000Z","2326","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00094.yaml","longbench","","","","lcc","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","44.18","0.96","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00093","finished","-","","","2025-04-25T17:17:21.000Z","1180","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00093.yaml","longbench","","","","passage_retrieval_en","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","25.89","","0.00007794958984045504","","38.92","0","27.68021297454834"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00092","finished","-","","","2025-04-25T17:15:17.000Z","1335","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00092.yaml","longbench","","","","passage_count","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","19.69","","0.00007304470930019384","","3.46","0","27.66723585128784"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00091","finished","-","","","2025-04-25T17:14:19.000Z","2089","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00091.yaml","longbench","","","","samsum","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","126.435","","0.00015764750686920445","","23.28","0.0769230721893494","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00090","finished","-","","","2025-04-25T17:09:59.000Z","1165","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00090.yaml","longbench","","","","triviaqa","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","27.325","","0.00012263656266205122","","76.56","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00089","finished","-","","","2025-04-25T17:05:40.000Z","1166","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00089.yaml","longbench","","","","trec","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","64","","0.00018398760766529575","","61.5","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00088","finished","-","","","2025-04-25T17:04:36.000Z","4182","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00088.yaml","longbench","","","","multi_news","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","332","2715.675","332","347.485","","0.000607490545145527","","20.71","0.200836815746223","27.827901363372803"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00087","finished","-","","","2025-04-25T16:58:42.000Z","1989","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00087.yaml","longbench","","","","qmsum","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","83.87","","0.00008761203814127868","","18.71","0.29824560903662667","27.71590280532837"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00086","finished","-","","","2025-04-25T16:58:33.000Z","4420","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00086.yaml","longbench","","","","gov_report","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6628","10652.425","6628","316.33","","0.00013064313532651164","","23.99","0.21158689696121427","27.81102180480957"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00085","finished","-","","","2025-04-25T16:55:55.000Z","1284","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00085.yaml","longbench","","","","musique","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","9.21","","0.00006212628936475146","","24.16","0.2222222222222222","27.666996955871586"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00084","finished","-","","","2025-04-25T16:54:55.000Z","579","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00084.yaml","longbench","","","","2wikimqa","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6025","7575.015","6025","7.73","","0.00017279060889681578","","47.01","1","27.66480779647827"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00083","finished","-","","","2025-04-25T16:52:50.000Z","1027","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00083.yaml","longbench","","","","hotpotqa","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6621","13475.455","6621","8.24","","0.00008813655980975478","","45.73","1","27.680195331573486"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00082","finished","-","","","2025-04-25T16:48:14.000Z","626","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00082.yaml","longbench","","","","multifieldqa_en","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","9924","7198.52","9924","32.60666666666667","","0.0001938149754756793","","34.09","0.13559322033898305","27.66995620727539"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00081","finished","-","","","2025-04-25T16:40:18.000Z","751","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00081.yaml","longbench","","","","qasper","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6909","5221.42","6909","36.855","","0.0002264812231859225","","24.98","0","27.66422748565674"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00080","finished","-","","","2025-04-25T16:39:57.000Z","3166","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00080.yaml","longbench","","","","narrativeqa","0","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","32994","29957.975","32994","21.33","","0.00004914631991457161","","22.04","0","27.664068698883057"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00079","finished","-","","","2025-04-25T16:37:06.000Z","3718","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00079.yaml","longbench","","","","repobench-p","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","64","","0.0001294151394040892","","28.32","0.46","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00078","finished","-","","","2025-04-25T16:36:41.000Z","2314","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00078.yaml","longbench","","","","lcc","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","42.14","0.85","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00077","finished","-","","","2025-04-25T16:34:49.000Z","1205","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00077.yaml","longbench","","","","passage_retrieval_en","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","28.165","","0.00007794958984045504","","45","0.5","27.68021297454834"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00076","finished","-","","","2025-04-25T16:33:47.000Z","1326","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00076.yaml","longbench","","","","passage_count","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","18.33","","0.00007304470930019384","","4.33","0","27.667436122894287"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00075","finished","-","","","2025-04-25T16:23:35.000Z","2096","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00075.yaml","longbench","","","","samsum","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","127.625","","0.00015764750686920445","","21.41","0.15384615029585808","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00074","finished","-","","","2025-04-25T16:20:48.000Z","1169","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00074.yaml","longbench","","","","triviaqa","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","27.965","","0.00012263656266205122","","73.33","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00073","finished","-","","","2025-04-25T16:14:22.000Z","1163","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00073.yaml","longbench","","","","trec","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","64","","0.00018398760766529575","","54.5","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00072","finished","-","","","2025-04-25T16:11:13.000Z","3784","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00072.yaml","longbench","","","","multi_news","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","332","2715.675","332","314.275","","0.000607490545145527","","18.41","0.15053763044462443","27.830167293548584"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00071","finished","-","","","2025-04-25T16:04:40.000Z","1944","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00071.yaml","longbench","","","","qmsum","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","81.5","","0.00008761203814127868","","18.24","0.1818181769043977","27.74705982208252"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00070","finished","-","","","2025-04-25T16:04:19.000Z","3680","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00070.yaml","longbench","","","","gov_report","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6628","10652.425","6628","253.29","","0.00013064313532651164","","20.65","0.1506024055791843","27.785529613494873"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00069","finished","-","","","2025-04-25T16:02:09.000Z","1284","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00069.yaml","longbench","","","","musique","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","8.92","","0.00006212628936475146","","24.68","1","27.666678428649902"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00068","finished","-","","","2025-04-25T16:01:43.000Z","568","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00068.yaml","longbench","","","","2wikimqa","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","256","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6025","7575.015","6025","6.8","","0.00017279060889681578","","46.73","1","27.66480779647827"
